"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","test_pokemon_is_returned_by_id","tests.pokemon","2026-06-28","failed","2026-06-28","TestPokemons","test_pokemon","",""
"","8","test_default_pokemon_list_response","tests.pokemon","2026-06-28","failed","2026-06-28","TestPokemonList","test_pokemon_list","",""
